randomisation_order,final_inclusion,paper_ID,DOI,journal,article_type,author,pagecount,title,subject,publication_date,health
36,Yes,27,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0217986,PLOS ONE,Research Article,"Sarah B Putman,Janine L Brown,Craig Saffoe,Ashley D Franklin,Budhan S Pukazhenthi",16,"Linkage between fecal androgen and glucocorticoid metabolites, spermaturia, body weight and onset of puberty in male African lions (Panthera leo)","/Biology and life sciences/Biochemistry/Hormones/Androgens,/Biology and life sciences/Biochemistry/Hormones/Androgens/Testosterone,/Biology and life sciences/Biochemistry/Hormones/Lipid hormones/Cortisol,/Biology and life sciences/Biochemistry/Hormones/Lipid hormones/Testosterone,/Biology and life sciences/Biochemistry/Hormones/Steroid hormones/Cortisol,/Biology and life sciences/Cell biology/Cellular types/Animal cells/Germ cells/Sperm,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Mammals/Cats/Lions,/Biology and life sciences/Physiology/Endocrine physiology/Puberty,/Biology and life sciences/Physiology/Physiological parameters/Body weight,/Medicine and health sciences/Endocrinology/Endocrine physiology/Puberty,/Medicine and health sciences/Physiology/Endocrine physiology/Puberty,/Medicine and health sciences/Physiology/Physiological parameters/Body weight,/People and places/Population groupings/Age groups",3/07/2019,TRUE
39,Yes,28,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0226941,PLOS ONE,Research Article,"Natalia Siwinska,Agnieszka Zak,Malwina Slowikowska,Barbara Szczepankiewicz,Artur Niedzwiedz,Urszula Paslawska",11,An assessment of the utility and repeatability of the renal resistive index in horses,"/Biology and life sciences/Anatomy/Cardiovascular anatomy/Blood vessels/Arteries,/Biology and life sciences/Anatomy/Cardiovascular anatomy/Blood vessels/Arteries/Renal arteries,/Biology and life sciences/Anatomy/Renal system/Kidneys,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Mammals/Equines/Horses,/Medicine and health sciences/Anatomy/Cardiovascular anatomy/Blood vessels/Arteries,/Medicine and health sciences/Anatomy/Cardiovascular anatomy/Blood vessels/Arteries/Renal arteries,/Medicine and health sciences/Anatomy/Renal system/Kidneys,/Medicine and health sciences/Diagnostic medicine/Diagnostic radiology/Ultrasound imaging,/Medicine and health sciences/Geriatrics,/Medicine and health sciences/Radiology and imaging/Diagnostic radiology/Ultrasound imaging,/Medicine and health sciences/Vascular medicine/Blood pressure,/People and places/Population groupings/Age groups/Elderly,/Research and analysis methods/Imaging techniques/Diagnostic radiology/Ultrasound imaging",26/12/2019,TRUE
40,Yes,29,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0213674,PLOS ONE,Research Article,"Clare C W Yu,Ali M McManus,Chun T Au,Hung K So,Adrienne Chan,Rita Y T Sung,Albert M Li",17,Appropriate scaling approach for evaluating peak VO2 development in Southern Chinese 8 to 16 years old,"/Biology and life sciences/Physiology/Physiological parameters,/Biology and life sciences/Sports science/Sports and exercise medicine/Exercise,/Medicine and health sciences/Physiology/Physiological parameters,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness/Exercise,/Medicine and health sciences/Sports and exercise medicine/Exercise,/People and places/Population groupings/Age groups,/People and places/Population groupings/Age groups/Children,/People and places/Population groupings/Age groups/Children/Adolescents,/People and places/Population groupings/Ethnicities/Chinese people,/People and places/Population groupings/Families/Children,/People and places/Population groupings/Families/Children/Adolescents,/Physical sciences/Mathematics/Probability theory/Probability distribution/Normal distribution,/Social sciences/Sociology/Education/Schools",12/03/2019,TRUE
41,Yes,30,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0225539,PLOS ONE,Research Article,"Rolf Jorde,Astrid Kamilla Stunes,Julia Kubiak,Guri Grimnes,Per Medbøe Thorsby,Unni Syversen",16,Smoking and other determinants of bone turnover,"/Biology and life sciences/Anatomy/Musculoskeletal system/Pelvis/Hip,/Biology and life sciences/Biochemistry/Biomarkers/Creatinine,/Biology and life sciences/Biochemistry/Hormones/Peptide hormones/Leptin,/Biology and life sciences/Developmental biology/Organism development/Organogenesis/Bone development,/Biology and life sciences/Physiology/Physiological processes/Bone remodeling/Bone resorption,/Biology and life sciences/Psychology/Behavior/Habits/Smoking habits,/Medicine and health sciences/Anatomy/Musculoskeletal system/Pelvis/Hip,/Medicine and health sciences/Physiology/Physiological processes/Bone remodeling/Bone resorption,/Physical sciences/Chemistry/Chemical compounds/Organic compounds/Vitamins/Vitamin D,/Physical sciences/Chemistry/Organic chemistry/Organic compounds/Vitamins/Vitamin D,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis,/Social sciences/Psychology/Behavior/Habits/Smoking habits",25/11/2019,TRUE
42,Yes,31,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0211690,PLOS ONE,Research Article,"Charlotte Andersson,Maria Lukács Krogager,Regitze Kuhr Skals,Emil Vincent Rosenbaum Appel,Christian Theil Have,Niels Grarup,Oluf Pedersen,Jørgen L Jeppesen,Ole Dyg Pedersen,Helena Dominguez,Ulrik Dixen,Thomas Engstrøm,Niels Tønder,Dan M Roden,Steen Stender,Gunnar H Gislason,Henrik Enghusen-Poulsen,Torben Hansen,Lars Køber,Christian Torp-Pedersen,Peter E Weeke",12,Association of genetic variants previously implicated in coronary artery disease with age at onset of coronary artery disease requiring revascularizations,"/Biology and life sciences/Biochemistry/Lipids/Cholesterol,/Biology and life sciences/Genetics/Genetics of disease,/Biology and life sciences/Genetics/Genetics of disease/Genetic predisposition,/Biology and life sciences/Genetics/Human genetics,/Medicine and health sciences/Cardiology/Coronary heart disease,/Medicine and health sciences/Cardiology/Myocardial infarction,/Medicine and health sciences/Epidemiology/Medical risk factors,/Medicine and health sciences/Vascular medicine/Angina,/Medicine and health sciences/Vascular medicine/Coronary heart disease",6/02/2019,TRUE
43,Yes,32,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0207046,PLOS ONE,Research Article,"Zoltán Kaló,Loek Hendrik Matheo van den Akker,Zoltán Vokó,Marcell Csanádi,János György Pitter",13,Is there a fair allocation of healthcare research funds by the European Union?,"/Medicine and health sciences/Health care/Health economics,/Medicine and health sciences/Public and occupational health,/People and places/Geographical locations/Europe/European Union,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis,/Science policy/Research funding,/Science policy/Research funding/Research grants,/Social sciences/Economics,/Social sciences/Economics/Economic analysis,/Social sciences/Economics/Health economics",15/04/2019,TRUE
44,Yes,33,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0215750,PLOS ONE,Research Article,"Hye Lim Lee,Ji-sun Kim,Hanjun Kim,Il soo Kim,Jae-whan Kim,Ye-eun Kim,Seong-beom Koh",9,Ultrasonography and electrophysiological study of median nerve in patients with essential tremor,"/Biology and life sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Hands,/Biology and life sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Wrist,/Biology and life sciences/Physiology/Electrophysiology,/Medicine and health sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Hands,/Medicine and health sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Wrist,/Medicine and health sciences/Clinical medicine/Clinical neurophysiology/Nerve conduction study,/Medicine and health sciences/Critical care and emergency medicine/Trauma medicine/Traumatic injury,/Medicine and health sciences/Diagnostic medicine/Diagnostic radiology/Ultrasound imaging,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Myoclonus,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Myoclonus,/Medicine and health sciences/Physiology/Electrophysiology,/Medicine and health sciences/Radiology and imaging/Diagnostic radiology/Ultrasound imaging,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Imaging techniques/Diagnostic radiology/Ultrasound imaging,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis",23/04/2019,TRUE
45,Yes,34,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0217229,PLOS ONE,Research Article,"Andrea Ries Thurman,Jill L Schwartz,Jacques Ravel,Pawel Gajer,Mark A Marzinke,Nazita Yousefieh,Sharon M Anderson,Gustavo F Doncel",19,Vaginal microbiota and mucosal pharmacokinetics of tenofovir in healthy women using tenofovir and tenofovir/levonorgestrel vaginal rings,"/Biology and life sciences/Biochemistry/Nucleic acids/RNA/Non-coding RNA/Ribosomal RNA,/Biology and life sciences/Biochemistry/Ribosomes/Ribosomal RNA,/Biology and life sciences/Cell biology/Cellular structures and organelles/Ribosomes/Ribosomal RNA,/Biology and life sciences/Computational biology/Genome analysis/Sequence assembly tools,/Biology and life sciences/Genetics/Genomics/Genome analysis/Sequence assembly tools,/Biology and life sciences/Genetics/Genomics/Microbial genomics/Microbiome,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Immunodeficiency viruses/HIV/HIV-1,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Retroviruses/Lentivirus/HIV/HIV-1,/Biology and life sciences/Microbiology/Medical microbiology/Microbiome,/Biology and life sciences/Microbiology/Microbial genomics/Microbiome,/Biology and life sciences/Organisms/Bacteria,/Biology and life sciences/Organisms/Bacteria/Gut bacteria/Lactobacillus,/Biology and life sciences/Organisms/Bacteria/Prevotella,/Biology and life sciences/Organisms/Viruses/Immunodeficiency viruses/HIV/HIV-1,/Biology and life sciences/Organisms/Viruses/RNA viruses/Retroviruses/Lentivirus/HIV/HIV-1,/Biology and life sciences/Organisms/Viruses/Viral pathogens/Immunodeficiency viruses/HIV/HIV-1,/Biology and life sciences/Organisms/Viruses/Viral pathogens/Retroviruses/Lentivirus/HIV/HIV-1,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Immunodeficiency viruses/HIV/HIV-1,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Retroviruses/Lentivirus/HIV/HIV-1,/Medicine and health sciences/Surgical and invasive medical procedures/Biopsy",20/05/2019,TRUE
46,Yes,35,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0222311,PLOS ONE,Research Article,"Catherine G Haase,Nathan W Fuller,C Reed Hranac,David T S Hayman,Liam P McGuire,Kaleigh J O Norquay,Kirk A Silas,Craig K R Willis,Raina K Plowright,Sarah H Olson",19,Incorporating evaporative water loss into bioenergetic models of hibernation to test for relative influence of host and pathogen traits on white-nose syndrome,"/Biology and life sciences/Anatomy/Animal anatomy/Animal wings,/Biology and life sciences/Biochemistry/Bioenergetics,/Biology and life sciences/Biochemistry/Lipids/Fats,/Biology and life sciences/Developmental biology/Microbial growth and development/Fungal growth,/Biology and life sciences/Microbiology/Microbial physiology/Microbial growth and development/Fungal growth,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Mammals/Bats,/Biology and life sciences/Physiology/Physiological processes/Hibernation,/Biology and life sciences/Psychology/Behavior/Animal behavior/Hibernation,/Biology and life sciences/Zoology/Animal anatomy/Animal wings,/Biology and life sciences/Zoology/Animal behavior/Hibernation,/Earth sciences/Atmospheric science/Meteorology/Humidity,/Earth sciences/Seasons/Winter,/Medicine and health sciences/Anatomy/Animal anatomy/Animal wings,/Medicine and health sciences/Physiology/Physiological processes/Hibernation,/Social sciences/Psychology/Behavior/Animal behavior/Hibernation",31/10/2019,TRUE
48,Yes,36,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0222533,PLOS ONE,Research Article,"Arang Rhie,Ho-Young Son,Soo Jung Kwak,Seungbok Lee,Dong Young Kim,Bark-Lynn Lew,Woo-Young Sim,Jeong-Sun Seo,Ohsang Kwon,Jong-Il Kim,Seong Jin Jo",13,Genetic variations associated with response to dutasteride in the treatment of male subjects with androgenetic alopecia,"/Biology and life sciences/Anatomy/Integumentary system/Hair,/Biology and life sciences/Anatomy/Integumentary system/Hair/Hair follicles,/Biology and life sciences/Anatomy/Integumentary system/Skin/Hair follicles,/Biology and life sciences/Biochemistry/Hormones/Androgens,/Biology and life sciences/Genetics/Genetic loci/Alleles,/Biology and life sciences/Genetics/Heredity/Genetic mapping/Variant genotypes,/Biology and life sciences/Genetics/Molecular genetics,/Biology and life sciences/Molecular biology/Molecular genetics,/Medicine and health sciences/Anatomy/Integumentary system/Hair,/Medicine and health sciences/Anatomy/Integumentary system/Hair/Hair follicles,/Medicine and health sciences/Anatomy/Integumentary system/Skin/Hair follicles,/Medicine and health sciences/Pharmacology/Pharmacokinetics/Drug metabolism,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis",16/09/2019,TRUE
50,Yes,37,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0213549,PLOS ONE,Research Article,"Kathrin Bausch,Elisa Roth,Stefan Heinz,David Horst,Susanne Mathia,Tatjana Vlajnic,Lukas Bubendorf,Timm Westhoff,Christian Wetterauer,Hans Helge Seifert,Jan Ebbing",12,Urinary Calprotectin loses specificity as tumour marker due to sterile leukocyturia associated with bladder cancer,"/Biology and life sciences/Anatomy/Body fluids/Urine,/Biology and life sciences/Anatomy/Renal system/Bladder,/Biology and life sciences/Cell biology/Cellular types/Animal cells/Blood cells/White blood cells,/Biology and life sciences/Cell biology/Cellular types/Animal cells/Blood cells/White blood cells/Neutrophils,/Biology and life sciences/Cell biology/Cellular types/Animal cells/Immune cells/White blood cells,/Biology and life sciences/Cell biology/Cellular types/Animal cells/Immune cells/White blood cells/Neutrophils,/Biology and life sciences/Immunology/Immune cells/White blood cells,/Biology and life sciences/Immunology/Immune cells/White blood cells/Neutrophils,/Biology and life sciences/Immunology/Immune response/Inflammation,/Biology and life sciences/Physiology/Body fluids/Urine,/Medicine and health sciences/Anatomy/Body fluids/Urine,/Medicine and health sciences/Anatomy/Renal system/Bladder,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Inflammation,/Medicine and health sciences/Immunology/Immune cells/White blood cells,/Medicine and health sciences/Immunology/Immune cells/White blood cells/Neutrophils,/Medicine and health sciences/Immunology/Immune response/Inflammation,/Medicine and health sciences/Oncology/Cancers and neoplasms/Genitourinary tract tumors/Bladder cancer,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Inflammation,/Medicine and health sciences/Physiology/Body fluids/Urine,/Medicine and health sciences/Urology/Bladder cancer,/Research and analysis methods/Histochemistry and cytochemistry techniques/Immunohistochemistry techniques,/Research and analysis methods/Immunologic techniques/Immunohistochemistry techniques,/Research and analysis methods/Specimen preparation and treatment/Staining/Cytoplasmic staining",14/03/2019,TRUE
51,Yes,38,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0219318,PLOS ONE,Research Article,"Ezgi Dogan-Sander,Anja Willenberg,Inci Batmaz,Cornelia Enzenbach,Kerstin Wirkner,Elisabeth Kohls,Roland Mergl,Joachim Thiery,Jürgen Kratzsch,Ulrich Hegerl,Christian Sander",17,Association of serum 25-hydroxyvitamin D concentrations with sleep phenotypes in a German community sample,"/Biology and life sciences/Anatomy/Endocrine system/Thyroid,/Biology and life sciences/Nutrition/Diet/Alcohol consumption,/Biology and life sciences/Nutrition/Nutritional deficiencies/Vitamin D deficiency,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Biology and life sciences/Physiology/Physiological processes/Sleep,/Medicine and health sciences/Anatomy/Endocrine system/Thyroid,/Medicine and health sciences/Cardiology,/Medicine and health sciences/Neurology/Sleep disorders,/Medicine and health sciences/Nutrition/Diet/Alcohol consumption,/Medicine and health sciences/Nutrition/Nutritional deficiencies/Vitamin D deficiency,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Medicine and health sciences/Physiology/Physiological processes/Sleep,/Physical sciences/Chemistry/Chemical compounds/Organic compounds/Vitamins/Vitamin D,/Physical sciences/Chemistry/Organic chemistry/Organic compounds/Vitamins/Vitamin D",5/07/2019,TRUE
52,Yes,39,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0223856,PLOS ONE,Research Article,"Gwinyai Masukume,Ali S Khashan,Susan M B Morton,Philip N Baker,Louise C Kenny,Fergus P McCarthy",13,Caesarean section delivery and childhood obesity in a British longitudinal cohort study,"/Biology and life sciences/Anatomy/Biological tissue/Adipose tissue,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Obesity,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Obesity/Childhood obesity,/Medicine and health sciences/Anatomy/Biological tissue/Adipose tissue,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Obesity,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Obesity/Childhood obesity,/Medicine and health sciences/Women's health/Maternal health/Birth/Labor and delivery,/Medicine and health sciences/Women's health/Obstetrics and gynecology/Birth/Labor and delivery,/People and places/Population groupings/Age groups/Children/Infants,/People and places/Population groupings/Families/Children/Infants,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Research design/Cohort studies",30/10/2019,TRUE
53,Yes,40,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0220383,PLOS ONE,Research Article,"Clémentine Fronteau,Maxime Paré,Philippe Benoit,Sophie Tollec,Catherine Hamon,Vérane Schwiertz,Christian Maillard,Amélie Cransac,Christelle Volteau,Jean-François Huon,Véronique Burgeot,Martine Tching-Sin,Corinne Guérin,Laurent Flet",12,What do adult outpatients included in clinical trials know about the investigational drugs being assessed: A cross-sectional study in France,"/Medicine and health sciences/Clinical medicine/Clinical trials,/Medicine and health sciences/Clinical medicine/Clinical trials/Phase I clinical investigation,/Medicine and health sciences/Gastroenterology and hepatology,/Medicine and health sciences/Health care/Patients,/Medicine and health sciences/Medical humanities/Medical education,/Medicine and health sciences/Pharmaceutics/Drug therapy,/Medicine and health sciences/Pharmacology/Drug research and development/Clinical trials,/Medicine and health sciences/Pharmacology/Drug research and development/Clinical trials/Phase I clinical investigation,/Medicine and health sciences/Pharmacology/Routes of administration,/Research and analysis methods/Clinical trials,/Research and analysis methods/Clinical trials/Phase I clinical investigation,/Social sciences/Sociology/Education/Medical education,/Social sciences/Sociology/Education/Schools",13/08/2019,TRUE
54,Yes,41,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0225446,PLOS ONE,Research Article,"Patricia A Hageman,Joseph E Mroz,Michael A Yoerger,Carol H Pullen",14,Weight loss is associated with improved quality of life among rural women completers of a web-based lifestyle intervention,"/Biology and life sciences/Physiology/Physiological parameters/Body weight/Obesity,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Weight loss,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Fatigue,/Medicine and health sciences/Health care/Quality of life,/Medicine and health sciences/Mental health and psychiatry/Mood disorders/Depression,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Fatigue,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Obesity,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Weight loss,/Medicine and health sciences/Public and occupational health/Physical activity,/Medicine and health sciences/Women's health,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis",19/11/2019,TRUE
55,Yes,42,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0218901,PLOS ONE,Research Article,"Eva-Maria Riso,Lisette Toplaan,Piret Viira,Sille Vaiksaar,Jaak Jürimäe",12,Physical fitness and physical activity of 6-7-year-old children according to weight status and sports participation,"/Biology and life sciences/Biochemistry/Lipids/Fats,/Biology and life sciences/Biomechanics/Hand strength,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Medicine and health sciences/Public and occupational health/Physical activity,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness,/People and places/Population groupings/Age groups/Children,/People and places/Population groupings/Age groups/Children/Adolescents,/People and places/Population groupings/Families/Children,/People and places/Population groupings/Families/Children/Adolescents,/Social sciences/Sociology/Education/Schools",25/06/2019,TRUE
56,Yes,43,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0216354,PLOS ONE,Research Article,"Saima Afaq,Angad S Kooner,Marie Loh,Jaspal S Kooner,John C Chambers",13,Contribution of lower physical activity levels to higher risk of insulin resistance and associated metabolic disturbances in South Asians compared to Europeans,"/Biology and life sciences/Biochemistry/Hormones/Insulin,/Biology and life sciences/Biochemistry/Metabolism/Carbohydrate metabolism/Glucose metabolism,/Biology and life sciences/Physiology/Endocrine physiology/Insulin resistance,/Engineering and technology/Electronics/Accelerometers,/Medicine and health sciences/Endocrinology/Diabetic endocrinology/Insulin,/Medicine and health sciences/Endocrinology/Endocrine disorders/Diabetes mellitus/Type 2 diabetes,/Medicine and health sciences/Endocrinology/Endocrine physiology/Insulin resistance,/Medicine and health sciences/Metabolic disorders/Diabetes mellitus/Type 2 diabetes,/Medicine and health sciences/Physiology/Endocrine physiology/Insulin resistance,/Medicine and health sciences/Public and occupational health/Physical activity,/People and places/Geographical locations/Europe,/Physical sciences/Chemistry/Chemical compounds/Organic compounds/Carbohydrates/Monosaccharides/Glucose,/Physical sciences/Chemistry/Organic chemistry/Organic compounds/Carbohydrates/Monosaccharides/Glucose",7/05/2019,TRUE
57,Yes,44,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0211778,PLOS ONE,Research Article,"Robert A Jordan,Andrea Egizi",18,"The growing importance of lone star ticks in a Lyme disease endemic county: Passive tick surveillance in Monmouth County, NJ, 2006 – 2016","/Biology and life sciences/Developmental biology/Life cycles/Nymphs,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Bacterial pathogens/Borrelia/Borrelia burgdorferi,/Biology and life sciences/Organisms/Bacteria/Borrelia/Borrelia burgdorferi,/Biology and life sciences/Organisms/Eukaryota/Animals/Invertebrates/Arthropoda/Arachnida/Ixodes/Ticks,/Biology and life sciences/Species interactions/Disease vectors/Ticks,/Medicine and health sciences/Epidemiology/Disease surveillance,/Medicine and health sciences/Epidemiology/Disease surveillance/Infectious disease surveillance,/Medicine and health sciences/Infectious diseases/Bacterial diseases/Borrelia infection/Lyme disease,/Medicine and health sciences/Infectious diseases/Disease vectors/Ticks,/Medicine and health sciences/Infectious diseases/Infectious disease control/Infectious disease surveillance,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Bacterial pathogens/Borrelia/Borrelia burgdorferi,/Medicine and health sciences/Rheumatology/Lyme disease,/People and places/Population groupings/Age groups",12/02/2019,TRUE
59,Yes,46,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0216824,PLOS ONE,Research Article,"Lluis Albesa-Albiol,Noemí Serra-Payá,María Ana Garnacho-Castaño,Lluis Guirao Cano,Eulogio Pleguezuelos Cobo,José Luis Maté-Muñoz,Manuel V Garnacho-Castaño",18,Ventilatory efficiency during constant-load test at lactate threshold intensity: Endurance versus resistance exercises,"/Biology and life sciences/Anatomy/Body fluids/Blood,/Biology and life sciences/Anatomy/Musculoskeletal system/Body limbs/Legs/Knees,/Biology and life sciences/Physiology/Body fluids/Blood,/Biology and life sciences/Sports science/Sports and exercise medicine/Exercise,/Biology and life sciences/Sports science/Sports and exercise medicine/Exercise/Strength training,/Earth sciences/Atmospheric science/Atmospheric chemistry/Greenhouse gases/Carbon dioxide,/Ecology and environmental sciences/Environmental chemistry/Atmospheric chemistry/Greenhouse gases/Carbon dioxide,/Medicine and health sciences/Anatomy/Body fluids/Blood,/Medicine and health sciences/Anatomy/Musculoskeletal system/Body limbs/Legs/Knees,/Medicine and health sciences/Cardiology/Heart rate,/Medicine and health sciences/Physiology/Body fluids/Blood,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness/Exercise,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness/Exercise/Strength training,/Medicine and health sciences/Sports and exercise medicine/Exercise,/Medicine and health sciences/Sports and exercise medicine/Exercise/Strength training,/Physical sciences/Chemistry/Chemical compounds/Carbon dioxide,/Physical sciences/Chemistry/Chemical elements/Oxygen,/Physical sciences/Chemistry/Environmental chemistry/Atmospheric chemistry/Greenhouse gases/Carbon dioxide",21/05/2019,TRUE
62,Yes,47,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0213760,PLOS ONE,Research Article,"Katherine Fiocca,Meghan Barrett,Edward A Waddell,Jennifer Viveiros,Cheyenne McNair,Sean O’Donnell,Daniel R Marenda",16,"Mannitol ingestion causes concentration-dependent, sex-biased mortality in adults of the fruit fly (Drosophila melanogaster)","/Biology and life sciences/Agriculture/Crop science/Crops,/Biology and life sciences/Developmental biology/Life cycles/Larvae,/Biology and life sciences/Organisms/Eukaryota/Animals/Invertebrates/Arthropoda/Insects/Drosophila/Drosophila melanogaster,/Biology and life sciences/Physiology/Physiological processes/Food consumption,/Biology and life sciences/Physiology/Physiological processes/Ingestion,/Biology and life sciences/Physiology/Reproductive physiology/Copulation,/Biology and life sciences/Population biology/Population metrics/Sex ratio,/Medicine and health sciences/Physiology/Physiological processes/Food consumption,/Medicine and health sciences/Physiology/Physiological processes/Ingestion,/Medicine and health sciences/Physiology/Reproductive physiology/Copulation,/Physical sciences/Chemistry/Chemical compounds/Organic compounds/Alcohols/Mannitol,/Physical sciences/Chemistry/Organic chemistry/Organic compounds/Alcohols/Mannitol,/Research and analysis methods/Animal studies/Experimental organism systems/Animal models/Drosophila melanogaster,/Research and analysis methods/Animal studies/Experimental organism systems/Model organisms/Drosophila melanogaster,/Research and analysis methods/Model organisms/Drosophila melanogaster",31/05/2019,TRUE
65,Yes,48,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0221799,PLOS ONE,Research Article,"Reshu Agrawal Sagtani,Sunaina Thapa,Alok Sagtani",9,Smoking and Quality of Life - Is there really an association? Evidence from a Nepalese sample,"/Biology and life sciences/Nutrition/Diet/Alcohol consumption,/Biology and life sciences/Psychology/Behavior/Habits/Smoking habits,/Medicine and health sciences/Health care/Quality of life,/Medicine and health sciences/Mental health and psychiatry/Substance-related disorders/Smoking related disorders,/Medicine and health sciences/Nutrition/Diet/Alcohol consumption,/Medicine and health sciences/Public and occupational health/Behavioral and social aspects of health,/Medicine and health sciences/Public and occupational health/Substance-related disorders/Smoking related disorders,/Medicine and health sciences/Public and occupational health/Tobacco control,/Medicine and health sciences/Pulmonology/Smoking related disorders,/People and places/Geographical locations/Asia/Nepal,/Social sciences/Psychology/Behavior/Habits/Smoking habits,/Social sciences/Sociology/Education/Schools",6/09/2019,TRUE
