randomisation_order,screened,initial_inclusion,final_inclusion,exclusion_reason,paper_ID,DOI,journal,article_type,author,pagecount,title,subject,publication_date,health
263,No,,,,,10.1371/journal.pone.0218577,PLOS ONE,Research Article,"Frida Soesanti,Cuno S P M Uiterwaal,Diederick E Grobbee,Aryono Hendarto,Geertje W Dalmeijer,Nikmah Salamia Idris",10,Antenatal exposure to second hand smoke of non-smoking mothers and growth rate of their infants,"/Biology and life sciences/Physiology/Physiological parameters/Body weight/Birth weight,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Weight gain,/Biology and life sciences/Psychology/Behavior/Habits/Smoking habits,/Medicine and health sciences/Pediatrics/Neonatology/Breast feeding,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Birth weight,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Weight gain,/Medicine and health sciences/Vascular medicine/Blood pressure/Hypertension/Hypertensive disorders in pregnancy,/Medicine and health sciences/Women's health/Maternal health/Breast feeding,/Medicine and health sciences/Women's health/Maternal health/Pregnancy,/Medicine and health sciences/Women's health/Maternal health/Pregnancy/Hypertensive disorders in pregnancy,/Medicine and health sciences/Women's health/Obstetrics and gynecology/Pregnancy,/Medicine and health sciences/Women's health/Obstetrics and gynecology/Pregnancy/Hypertensive disorders in pregnancy,/People and places/Population groupings/Age groups/Children/Infants,/People and places/Population groupings/Families/Children/Infants,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis,/Social sciences/Psychology/Behavior/Habits/Smoking habits",20/06/2019,TRUE
264,No,,,,,10.1371/journal.pone.0221391,PLOS ONE,Research Article,"Guillaume Binson,Claire Grignon,Gwenaël Le Moal,Pauline Lazaro,Jérémy Lelong,France Roblot,Nicolas Venisse,Antoine Dupuis",13,Overcoming stability challenges during continuous intravenous administration of high-dose amoxicillin using portable elastomeric pumps,"/Biology and life sciences/Microbiology/Microbial control/Antimicrobials,/Biology and life sciences/Microbiology/Microbial control/Antimicrobials/Antibiotics,/Biology and life sciences/Physiology/Physiological parameters/Body temperature,/Medicine and health sciences/Infectious diseases,/Medicine and health sciences/Pharmaceutics/Drug therapy/Drug administration,/Medicine and health sciences/Pharmacology/Drugs/Antimicrobials,/Medicine and health sciences/Pharmacology/Drugs/Antimicrobials/Antibiotics,/Medicine and health sciences/Physiology/Physiological parameters/Body temperature,/Physical sciences/Materials science/Material properties/Solubility,/Physical sciences/Physics/Classical mechanics/Continuum mechanics/Fluid mechanics/Fluid dynamics/Flow rate,/Research and analysis methods/Bioassays and physiological analysis/Biochemical analysis/Bioelectrochemical analysis/Amperometry",16/08/2019,TRUE
265,No,,,,,10.1371/journal.pone.0215987,PLOS ONE,Research Article,"Yu Kong,Deepa Rastogi,Cathal Seoighe,John M Greally,Masako Suzuki",21,Insights from deconvolution of cell subtype proportions enhance the interpretation of functional genomic data,"/Biology and life sciences/Anatomy/Renal system/Kidneys,/Biology and life sciences/Biochemistry/Nucleic acids/DNA/DNA modification/DNA methylation,/Biology and life sciences/Cell biology/Chromosome biology/Chromatin/Chromatin modification/DNA methylation,/Biology and life sciences/Computational biology/Genome analysis/Gene ontologies,/Biology and life sciences/Genetics/DNA/DNA modification/DNA methylation,/Biology and life sciences/Genetics/Epigenetics/Chromatin/Chromatin modification/DNA methylation,/Biology and life sciences/Genetics/Epigenetics/DNA modification/DNA methylation,/Biology and life sciences/Genetics/Gene expression,/Biology and life sciences/Genetics/Gene expression/Chromatin/Chromatin modification/DNA methylation,/Biology and life sciences/Genetics/Gene expression/DNA modification/DNA methylation,/Biology and life sciences/Genetics/Genomics/Functional genomics,/Biology and life sciences/Genetics/Genomics/Genome analysis/Gene ontologies,/Biology and life sciences/Immunology/Clinical immunology/Autoimmune diseases/Lupus erythematosus/Systemic lupus erythematosus,/Medicine and health sciences/Anatomy/Renal system/Kidneys,/Medicine and health sciences/Clinical medicine/Clinical immunology/Autoimmune diseases/Lupus erythematosus/Systemic lupus erythematosus,/Medicine and health sciences/Immunology/Clinical immunology/Autoimmune diseases/Lupus erythematosus/Systemic lupus erythematosus,/Medicine and health sciences/Pulmonology/Asthma,/Medicine and health sciences/Rheumatology/Systemic lupus erythematosus,/Research and analysis methods/Animal studies/Experimental organism systems/Animal models/Mouse models,/Research and analysis methods/Animal studies/Experimental organism systems/Model organisms/Mouse models,/Research and analysis methods/Model organisms/Mouse models",25/04/2019,TRUE
266,No,,,,,10.1371/journal.pone.0221909,PLOS ONE,Research Article,"Sebastian Nagel,Martin Spüler",15,World’s fastest brain-computer interface: Combining EEG2Code with deep learning,"/Biology and life sciences/Biochemistry/Nucleic acids/RNA/Messenger RNA/Untranslated regions,/Biology and life sciences/Bioengineering/Biotechnology/Medical devices and equipment/Assistive technologies/Prosthetics,/Biology and life sciences/Neuroscience/Brain mapping/Electroencephalography,/Biology and life sciences/Neuroscience/Brain mapping/Electroencephalography/Visual-evoked potentials,/Biology and life sciences/Neuroscience/Neural networks,/Biology and life sciences/Neuroscience/Neuroimaging/Electroencephalography,/Biology and life sciences/Neuroscience/Neuroimaging/Electroencephalography/Visual-evoked potentials,/Biology and life sciences/Neuroscience/Neurophysiology/Brain electrophysiology/Electroencephalography,/Biology and life sciences/Neuroscience/Neurophysiology/Brain electrophysiology/Electroencephalography/Visual-evoked potentials,/Biology and life sciences/Physiology/Electrophysiology/Neurophysiology/Brain electrophysiology/Electroencephalography,/Biology and life sciences/Physiology/Electrophysiology/Neurophysiology/Brain electrophysiology/Electroencephalography/Visual-evoked potentials,/Computer and information sciences/Artificial intelligence/Machine learning/Deep learning,/Computer and information sciences/Neural networks,/Engineering and technology/Bioengineering/Biotechnology/Medical devices and equipment/Assistive technologies/Prosthetics,/Engineering and technology/Human factors engineering/Man-computer interface,/Medicine and health sciences/Clinical medicine/Clinical neurophysiology/Electroencephalography,/Medicine and health sciences/Clinical medicine/Clinical neurophysiology/Electroencephalography/Visual-evoked potentials,/Medicine and health sciences/Medical devices and equipment/Assistive technologies/Prosthetics,/Medicine and health sciences/Physiology/Electrophysiology/Neurophysiology/Brain electrophysiology/Electroencephalography,/Medicine and health sciences/Physiology/Electrophysiology/Neurophysiology/Brain electrophysiology/Electroencephalography/Visual-evoked potentials,/Research and analysis methods/Bioassays and physiological analysis/Electrophysiological techniques/Brain electrophysiology/Electroencephalography,/Research and analysis methods/Bioassays and physiological analysis/Electrophysiological techniques/Brain electrophysiology/Electroencephalography/Visual-evoked potentials,/Research and analysis methods/Imaging techniques/Neuroimaging/Electroencephalography,/Research and analysis methods/Imaging techniques/Neuroimaging/Electroencephalography/Visual-evoked potentials,/Social sciences/Sociology/Communications",6/09/2019,TRUE
267,No,,,,,10.1371/journal.pone.0224326,PLOS ONE,Research Article,"Leandro Álvarez-Kurogi,Wanesa Onetti,José Carlos Fernández-García,Alfonso Castillo-Rodríguez",12,Does the psychological profile influence the position of promising young futsal players?,"/Biology and life sciences/Neuroscience/Cognitive science/Cognitive psychology/Motivation,/Biology and life sciences/Psychology/Behavior/Motivation,/Biology and life sciences/Psychology/Behavior/Recreation/Games,/Biology and life sciences/Psychology/Behavior/Recreation/Sports,/Biology and life sciences/Psychology/Cognitive psychology/Motivation,/Biology and life sciences/Psychology/Emotions,/Biology and life sciences/Psychology/Emotions/Anxiety,/Biology and life sciences/Psychology/Psychological stress,/Biology and life sciences/Psychology/Psychometrics,/Biology and life sciences/Sports science/Sports,/Medicine and health sciences/Mental health and psychiatry/Psychological stress,/Research and analysis methods/Research design/Survey research/Questionnaires,/Social sciences/Psychology/Behavior/Motivation,/Social sciences/Psychology/Behavior/Recreation/Games,/Social sciences/Psychology/Behavior/Recreation/Sports,/Social sciences/Psychology/Cognitive psychology/Motivation,/Social sciences/Psychology/Emotions,/Social sciences/Psychology/Emotions/Anxiety,/Social sciences/Psychology/Psychological stress,/Social sciences/Psychology/Psychometrics",12/11/2019,TRUE
268,No,,,,,10.1371/journal.pone.0217254,PLOS ONE,Research Article,"Tomáš Urban,Petr Waldauf,Adéla Krajcová,Katerina Jiroutková,Milada Halacová,Valér Džupa,Libor Janoušek,Eva Pokorná,František Duška",13,Kinetic characteristics of propofol-induced inhibition of electron-transfer chain and fatty acid oxidation in human and rodent skeletal and cardiac muscles,"/Biology and life sciences/Anatomy/Musculoskeletal system/Muscles/Cardiac muscles,/Biology and life sciences/Anatomy/Musculoskeletal system/Muscles/Skeletal muscles,/Biology and life sciences/Biochemistry/Bioenergetics,/Biology and life sciences/Biochemistry/Bioenergetics/Energy-producing organelles/Mitochondria,/Biology and life sciences/Biochemistry/Lipids/Fatty acids,/Biology and life sciences/Cell biology/Cellular structures and organelles/Energy-producing organelles/Mitochondria,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Mammals/Rodents,/Medicine and health sciences/Anatomy/Musculoskeletal system/Muscles/Cardiac muscles,/Medicine and health sciences/Anatomy/Musculoskeletal system/Muscles/Skeletal muscles,/Physical sciences/Chemistry/Chemical elements/Oxygen,/Physical sciences/Chemistry/Chemical reactions/Oxidation",4/10/2019,TRUE
269,No,,,,,10.1371/journal.pone.0218956,PLOS ONE,Research Article,"H J Van der Fels-Klerx,L C Vermeulen,A K Gavai,C Liu",14,Climate change impacts on aflatoxin B1 in maize and aflatoxin M1 in milk: A case study of maize grown in Eastern Europe and imported to the Netherlands,"/Biology and life sciences/Agriculture/Crop science/Crops/Cereal crops,/Biology and life sciences/Anatomy/Body fluids/Milk,/Biology and life sciences/Nutrition/Diet/Beverages/Milk,/Biology and life sciences/Organisms/Eukaryota/Plants/Grasses/Maize,/Biology and life sciences/Physiology/Body fluids/Milk,/Earth sciences/Atmospheric science/Climatology/Climate change,/Earth sciences/Atmospheric science/Climatology/Climate modeling,/Earth sciences/Atmospheric science/Meteorology,/Medicine and health sciences/Anatomy/Body fluids/Milk,/Medicine and health sciences/Nutrition/Diet/Beverages/Milk,/Medicine and health sciences/Physiology/Body fluids/Milk,/People and places/Geographical locations/Europe/Ukraine,/Physical sciences/Mathematics/Statistics/Statistical methods/Forecasting,/Research and analysis methods/Animal studies/Experimental organism systems/Model organisms/Maize,/Research and analysis methods/Animal studies/Experimental organism systems/Plant and algal models/Maize,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Forecasting,/Research and analysis methods/Model organisms/Maize,/Research and analysis methods/Simulation and modeling/Climate modeling",27/06/2019,TRUE
270,No,,,,,10.1371/journal.pone.0222941,PLOS ONE,Research Article,"Magara H J Otieno,Monica A Ayieko,Saliou Niassy,Daisy Salifu,Azrag G A Abdelmutalab,Khamis M Fathiya,Sevgan Subramanian,Komi K M Fiaboe,Nana Roos,Sunday Ekesi,Chrysantus M Tanga",27,Integrating temperature-dependent life table data into Insect Life Cycle Model for predicting the potential distribution of Scapsipedus icipe Hugel & Tanga,"/Biology and life sciences/Developmental biology/Life cycles/Nymphs,/Biology and life sciences/Organisms/Eukaryota/Animals/Invertebrates/Arthropoda/Insects,/Biology and life sciences/Organisms/Eukaryota/Animals/Invertebrates/Arthropoda/Insects/Crickets,/Biology and life sciences/Physiology/Reproductive physiology/Oviposition,/Biology and life sciences/Population biology/Population metrics/Death rates,/Biology and life sciences/Population biology/Population metrics/Fecundity,/Biology and life sciences/Population biology/Population metrics/Sex ratio,/Medicine and health sciences/Physiology/Reproductive physiology/Oviposition,/People and places/Geographical locations/Africa",25/09/2019,TRUE
271,No,,,,,10.1371/journal.pone.0210767,PLOS ONE,Research Article,"Carsten Simonsen,Kristinn Thorsteinsson,Rikke Nørmark Mortensen,Christian Torp-Pedersen,Benedict Kjærgaard,Jan Jesper Andreasen",12,Carbon monoxide poisoning in Denmark with focus on mortality and factors contributing to mortality,"/Biology and life sciences/Population biology/Population metrics/Death rates,/Biology and life sciences/Psychology/Behavior/Drug abuse,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Poisoning,/Medicine and health sciences/Epidemiology/Epidemiological methods and statistics/Epidemiological statistics,/Medicine and health sciences/Mental health and psychiatry/Substance-related disorders/Intoxication,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Poisoning,/Medicine and health sciences/Public and occupational health/Substance-related disorders/Intoxication,/Medicine and health sciences/Pulmonology/Chronic obstructive pulmonary disease,/People and places/Geographical locations/Europe/European Union/Denmark,/People and places/Population groupings/Age groups,/Social sciences/Psychology/Behavior/Drug abuse",17/01/2019,TRUE
272,No,,,,,10.1371/journal.pone.0212199,PLOS ONE,Research Article,"Efrat Leopold,Dalya Navot-Mintzer,Eyal Shargal,Sharon Tsuk,Tamir Tuller,Mickey Scheinowitz",15,Prediction of the Wingate anaerobic mechanical power outputs from a maximal incremental cardiopulmonary exercise stress test using machine-learning approach,"/Biology and life sciences/Biochemistry/Metabolism/Metabolic pathways,/Biology and life sciences/Sports science/Sports and exercise medicine/Exercise,/Biology and life sciences/Sports science/Sports and exercise medicine/Exercise/Aerobic exercise,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Fatigue,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Fatigue,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness/Exercise,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness/Exercise/Aerobic exercise,/Medicine and health sciences/Sports and exercise medicine/Exercise,/Medicine and health sciences/Sports and exercise medicine/Exercise/Aerobic exercise,/Physical sciences/Mathematics/Applied mathematics/Algorithms,/Physical sciences/Mathematics/Statistics/Statistical methods/Forecasting,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Physical sciences/Physics/Classical mechanics/Mechanical stress,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Forecasting,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Simulation and modeling/Algorithms",12/03/2019,TRUE
273,No,,,,,10.1371/journal.pone.0217765,PLOS ONE,Research Article,"Jesper R Gådin,Alfonso Buil,Carlo Colantuoni,Andrew E Jaffe,Jacob Nielsen,Joo-Heon Shin,Thomas M Hyde,Joel E Kleinman,The BrainSeq Consortium ,Niels Plath,Per Eriksson,Søren Brunak,Michael Didriksen,Daniel R Weinberger,Lasse Folkersen",16,Comparison of quantitative trait loci methods: Total expression and allelic imbalance method in brain RNA-seq,"/Biology and life sciences/Anatomy/Brain/Hippocampus,/Biology and life sciences/Computational biology/Genome analysis/Genome-wide association studies,/Biology and life sciences/Genetics/Genetic loci,/Biology and life sciences/Genetics/Genetic loci/Alleles,/Biology and life sciences/Genetics/Genetic loci/Quantitative trait loci,/Biology and life sciences/Genetics/Genomics/Genome analysis/Genome-wide association studies,/Biology and life sciences/Genetics/Heredity/Genetic mapping/Variant genotypes,/Biology and life sciences/Genetics/Human genetics/Genome-wide association studies,/Biology and life sciences/Genetics/Molecular genetics,/Biology and life sciences/Molecular biology/Molecular genetics,/Medicine and health sciences/Anatomy/Brain/Hippocampus,/Medicine and health sciences/Mental health and psychiatry/Schizophrenia",17/06/2019,TRUE
274,No,,,,,10.1371/journal.pone.0216734,PLOS ONE,Research Article,"Alex A Gutsol,Paula Blanco,Svetlana I Samokhina,Sergey A Afanasiev,Chris R J Kennedy,Sergey V Popov,Kevin D Burns",30,A novel method for comparison of arterial remodeling in hypertension: Quantification of arterial trees and recognition of remodeling patterns on histological sections,"/Biology and life sciences/Anatomy/Cardiovascular anatomy/Blood vessels/Arteries,/Biology and life sciences/Anatomy/Cardiovascular anatomy/Blood vessels/Arteries/Pulmonary arteries,/Biology and life sciences/Anatomy/Cardiovascular anatomy/Blood vessels/Arteries/Renal arteries,/Biology and life sciences/Anatomy/Renal system/Kidneys,/Computer and information sciences/Data visualization/Infographics/Graphs,/Medicine and health sciences/Anatomy/Cardiovascular anatomy/Blood vessels/Arteries,/Medicine and health sciences/Anatomy/Cardiovascular anatomy/Blood vessels/Arteries/Pulmonary arteries,/Medicine and health sciences/Anatomy/Cardiovascular anatomy/Blood vessels/Arteries/Renal arteries,/Medicine and health sciences/Anatomy/Renal system/Kidneys,/Medicine and health sciences/Vascular medicine/Blood pressure/Hypertension,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Imaging techniques/Morphometry,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis",21/05/2019,TRUE
275,No,,,,,10.1371/journal.pone.0226141,PLOS ONE,Research Article,"Annet Oliveira,Kalaiselvi Selvaraj,Jaya Prasad Tripathy,Utkarsh Betodkar,Jagadish Cacodcar,Abhijit Wadkar",13,"Kyasanur Forest Disease vaccination coverage and its perceived barriers in Goa, India—A mixed methods operational research","/Biology and life sciences/Immunology/Vaccination and immunization,/Biology and life sciences/Immunology/Vaccination and immunization/Vaccine development,/Medicine and health sciences/Health care/Health education and awareness,/Medicine and health sciences/Immunology/Vaccination and immunization,/Medicine and health sciences/Immunology/Vaccination and immunization/Vaccine development,/Medicine and health sciences/Infectious diseases/Infectious disease control/Vaccines,/Medicine and health sciences/Infectious diseases/Infectious disease control/Vaccines/Booster doses,/Medicine and health sciences/Infectious diseases/Zoonoses/Kyasanur Forest Disease,/Medicine and health sciences/Public and occupational health,/Medicine and health sciences/Public and occupational health/Preventive medicine/Vaccination and immunization,/Medicine and health sciences/Public and occupational health/Preventive medicine/Vaccination and immunization/Vaccine development,/People and places/Geographical locations/Asia/India",31/12/2019,TRUE
276,No,,,,,10.1371/journal.pone.0220914,PLOS ONE,Research Article,"Jianjun Zhang,Qiuying Sha,Guanfu Liu,Xuexia Wang",17,A gene based approach to test genetic association based on an optimally weighted combination of multiple traits,"/Biology and life sciences/Computational biology/Genome analysis/Genome-wide association studies,/Biology and life sciences/Genetics/Genetics of disease,/Biology and life sciences/Genetics/Genomics/Genome analysis/Genome-wide association studies,/Biology and life sciences/Genetics/Heredity,/Biology and life sciences/Genetics/Heredity/Genetic mapping/Variant genotypes,/Biology and life sciences/Genetics/Human genetics/Genome-wide association studies,/Biology and life sciences/Genetics/Phenotypes,/Medicine and health sciences/Pulmonology/Chronic obstructive pulmonary disease,/Physical sciences/Mathematics/Statistics/Statistical methods/Test statistics,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Test statistics,/Research and analysis methods/Research assessment/Research errors",9/08/2019,TRUE
277,No,,,,,10.1371/journal.pone.0223189,PLOS ONE,Research Article,"Bazil Kavishe,Fiona Vanobberghen,David Katende,Saidi Kapiga,Paula Munderi,Kathy Baisley,Samuel Biraro,Neema Mosha,Gerald Mutungi,Janneth Mghamba,Peter Hughes,Liam Smeeth,Heiner Grosskurth,Robert Peck",16,Dyslipidemias and cardiovascular risk scores in urban and rural populations in north-western Tanzania and southern Uganda,"/Biology and life sciences/Biochemistry/Lipids,/Biology and life sciences/Biochemistry/Lipids/Cholesterol,/Biology and life sciences/Biochemistry/Proteins/Lipoproteins/Apolipoproteins,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Obesity,/Earth sciences/Geography/Geographic areas/Rural areas,/Medicine and health sciences/Metabolic disorders/Dyslipidemia,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Obesity,/People and places/Geographical locations/Africa/Tanzania,/People and places/Geographical locations/Africa/Uganda",6/12/2019,TRUE
278,No,,,,,10.1371/journal.pone.0220802,PLOS ONE,Research Article,"Solveig A Cunningham,Eeshwar K Chandrasekar,Kate Cartwright,Kathryn M Yount",19,Protecting children’s health in a calorie-surplus context: Household structure and child growth in the United States,"/Biology and life sciences/Physiology/Physiological parameters/Body weight/Obesity,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Obesity/Childhood obesity,/Earth sciences/Seasons/Spring,/Medicine and health sciences/Pediatrics/Child health,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Obesity,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Obesity/Childhood obesity,/Medicine and health sciences/Public and occupational health/Child health,/People and places/Population groupings/Age groups/Children,/People and places/Population groupings/Families/Children,/People and places/Population groupings/Families/Fathers,/People and places/Population groupings/Families/Mothers,/Social sciences/Sociology/Education/Schools",8/08/2019,TRUE
279,No,,,,,10.1371/journal.pone.0213319,PLOS ONE,Research Article,"Hoda Gad,Adnan Khan,Naveed Akhtar,Saadat Kamran,Ahmed El-Sotouhy,Soha R Dargham,Ioannis N Petropoulos,Georgios Ponirakis,Ashfaq Shuaib,Leopold J Streletz,Rayaz A Malik",13,Corneal nerve and endothelial cell damage in patients with transient ischemic attack and minor ischemic stroke,"/Biology and life sciences/Anatomy/Biological tissue/Epithelium/Epithelial cells/Endothelial cells,/Biology and life sciences/Anatomy/Ocular system/Ocular anatomy/Cornea,/Biology and life sciences/Biochemistry/Lipids/Cholesterol,/Biology and life sciences/Biochemistry/Proteins/Hemoglobin/HbA1c,/Biology and life sciences/Cell biology/Cellular types/Animal cells/Epithelial cells/Endothelial cells,/Biology and life sciences/Cell biology/Cellular types/Animal cells/Neurons,/Biology and life sciences/Cell biology/Cellular types/Animal cells/Neurons/Nerve fibers,/Biology and life sciences/Neuroscience/Cellular neuroscience/Neurons,/Biology and life sciences/Neuroscience/Cellular neuroscience/Neurons/Nerve fibers,/Medicine and health sciences/Anatomy/Biological tissue/Epithelium/Epithelial cells/Endothelial cells,/Medicine and health sciences/Anatomy/Ocular system/Ocular anatomy/Cornea,/Medicine and health sciences/Diagnostic medicine/Diabetes diagnosis and management/HbA1c,/Medicine and health sciences/Neurology/Cerebrovascular diseases/Stroke,/Medicine and health sciences/Neurology/Cerebrovascular diseases/Stroke/Ischemic stroke,/Medicine and health sciences/Vascular medicine/Stroke,/Medicine and health sciences/Vascular medicine/Stroke/Ischemic stroke",15/03/2019,TRUE
280,No,,,,,10.1371/journal.pone.0219637,PLOS ONE,Research Article,"Stephanie G Cone,Hope E Piercy,Emily P Lambeth,Hongyu Ru,Jorge A Piedrahita,Jeffrey T Spang,Lynn A Fordham,Matthew B Fisher",16,Tissue-specific changes in size and shape of the ligaments and tendons of the porcine knee during post-natal growth,"/Biology and life sciences/Anatomy/Biological tissue/Connective tissue/Ligaments,/Biology and life sciences/Anatomy/Biological tissue/Connective tissue/Tendons,/Biology and life sciences/Anatomy/Musculoskeletal system/Body limbs,/Biology and life sciences/Anatomy/Musculoskeletal system/Skeletal joints,/Medicine and health sciences/Anatomy/Biological tissue/Connective tissue/Ligaments,/Medicine and health sciences/Anatomy/Biological tissue/Connective tissue/Tendons,/Medicine and health sciences/Anatomy/Musculoskeletal system/Body limbs,/Medicine and health sciences/Anatomy/Musculoskeletal system/Skeletal joints,/Medicine and health sciences/Diagnostic medicine/Diagnostic radiology/Magnetic resonance imaging,/Medicine and health sciences/Radiology and imaging/Diagnostic radiology/Magnetic resonance imaging,/People and places/Population groupings/Age groups,/Research and analysis methods/Animal studies/Experimental organism systems/Animal models/Pig models,/Research and analysis methods/Imaging techniques/Diagnostic radiology/Magnetic resonance imaging,/Research and analysis methods/Imaging techniques/Morphometry",23/10/2019,TRUE
281,No,,,,,10.1371/journal.pone.0211029,PLOS ONE,Research Article,"Cristina Medina-Trillo,José-Daniel Aroca-Aguilar,Jesús-José Ferre-Fernández,Susana Alexandre-Moreno,Laura Morales,Carmen-Dora Méndez-Hernández,Julián García-Feijoo,Julio Escribano",20,Role of FOXC2 and PITX2 rare variants associated with mild functional alterations as modifier factors in congenital glaucoma,"/Biology and life sciences/Anatomy/Head/Eyes,/Biology and life sciences/Anatomy/Ocular system/Eyes,/Biology and life sciences/Biochemistry/Proteins/Amino acids/Amino acid substitution,/Biology and life sciences/Biochemistry/Proteins/Protein domains,/Biology and life sciences/Biochemistry/Proteins/Protein domains/Forkhead box,/Biology and life sciences/Genetics/Gene expression/Transactivation,/Biology and life sciences/Genetics/Human genetics,/Medicine and health sciences/Anatomy/Head/Eyes,/Medicine and health sciences/Anatomy/Ocular system/Eyes,/Medicine and health sciences/Ophthalmology/Eye diseases/Glaucoma,/Medicine and health sciences/Surgical and invasive medical procedures,/Physical sciences/Chemistry/Chemical compounds/Organic compounds/Amino acids/Amino acid substitution,/Physical sciences/Chemistry/Organic chemistry/Organic compounds/Amino acids/Amino acid substitution",18/01/2019,TRUE
282,No,,,,,10.1371/journal.pone.0224467,PLOS ONE,Research Article,"Johan Lindqvist,Eun-Jeong Lee,Esmat Karimi,Justin Kolb,Henk Granzier",18,Omecamtiv mecarbil lowers the contractile deficit in a mouse model of nebulin-based nemaline myopathy,"/Biology and life sciences/Anatomy/Musculoskeletal system/Muscles/Cardiac muscles,/Biology and life sciences/Anatomy/Musculoskeletal system/Muscles/Muscle fibers,/Biology and life sciences/Anatomy/Musculoskeletal system/Muscles/Muscle fibers/Skeletal muscle fibers/Fast-twitch muscle fibers,/Biology and life sciences/Anatomy/Musculoskeletal system/Muscles/Muscle fibers/Skeletal muscle fibers/Slow-twitch muscle fibers,/Biology and life sciences/Anatomy/Musculoskeletal system/Muscles/Skeletal muscles,/Biology and life sciences/Anatomy/Musculoskeletal system/Muscles/Soleus muscles,/Biology and life sciences/Biochemistry/Proteins/Contractile proteins/Myosins,/Biology and life sciences/Biochemistry/Proteins/Cytoskeletal proteins/Myosins,/Biology and life sciences/Biochemistry/Proteins/Motor proteins/Actin motors/Myosins,/Biology and life sciences/Cell biology/Cellular types/Animal cells/Muscle fibers,/Biology and life sciences/Cell biology/Cellular types/Animal cells/Muscle fibers/Skeletal muscle fibers/Fast-twitch muscle fibers,/Biology and life sciences/Cell biology/Cellular types/Animal cells/Muscle fibers/Skeletal muscle fibers/Slow-twitch muscle fibers,/Biology and life sciences/Cell biology/Molecular motors/Motor proteins/Actin motors/Myosins,/Medicine and health sciences/Anatomy/Musculoskeletal system/Muscles/Cardiac muscles,/Medicine and health sciences/Anatomy/Musculoskeletal system/Muscles/Muscle fibers,/Medicine and health sciences/Anatomy/Musculoskeletal system/Muscles/Muscle fibers/Skeletal muscle fibers/Fast-twitch muscle fibers,/Medicine and health sciences/Anatomy/Musculoskeletal system/Muscles/Muscle fibers/Skeletal muscle fibers/Slow-twitch muscle fibers,/Medicine and health sciences/Anatomy/Musculoskeletal system/Muscles/Skeletal muscles,/Medicine and health sciences/Anatomy/Musculoskeletal system/Muscles/Soleus muscles,/Research and analysis methods/Animal studies/Experimental organism systems/Animal models/Mouse models,/Research and analysis methods/Animal studies/Experimental organism systems/Model organisms/Mouse models,/Research and analysis methods/Model organisms/Mouse models",13/11/2019,TRUE
283,No,,,,,10.1371/journal.pone.0216240,PLOS ONE,Research Article,"Marie Mide Michelsen,Adam Pena,Naja D Mygind,Nis Høst,Ida Gustafsson,Peter Riis Hansen,Henrik Steen Hansen,Jens Kastrup,Eva Prescott",11,Overlap between angina without obstructive coronary artery disease and left ventricular diastolic dysfunction with preserved ejection fraction,"/Medicine and health sciences/Cardiology/Coronary heart disease,/Medicine and health sciences/Epidemiology/Medical risk factors,/Medicine and health sciences/Pulmonology/Dyspnea,/Medicine and health sciences/Vascular medicine/Angina,/Medicine and health sciences/Vascular medicine/Blood pressure,/Medicine and health sciences/Vascular medicine/Blood pressure/Hypertension,/Medicine and health sciences/Vascular medicine/Coronary heart disease,/Medicine and health sciences/Women's health,/Physical sciences/Physics/Classical mechanics/Pressure/High pressure",23/05/2019,TRUE
